Brand,Model,Car_Age,Kilometers_Driven,Fuel_Type,Transmission,Owner_Count,Price,Estimated_Original_Price,Core_Systems_Score,Supporting_Systems_Score,Interiors_AC_Score,Exteriors_Lights_Score,Wear_Tear_Parts_Score
Hyundai,Creta 1.6,10,112000,Petrol,Manual (Regular),1,654000,1119000,9.6,9.1,7.9,7.7,8.9
Hyundai,Creta 1.5 Ivt,4,93000,Petrol,Automatic (Cvt),1,1184000,1558000,9.7,9.4,8.9,8.7,8.2
Kia,Seltos 1.4,4,47000,Petrol,Automatic (Dct),1,1383000,1749000,9.8,9.6,9.3,8.8,8.2
Ford,Ecosport Titanium 1.5L Ti-Vct,5,61000,Petrol,Automatic (Torque Convertor),1,823000,1171000,9.8,9.6,9,8.9,7.9
Kia,Sonet X Line 1.5,3,35000,Diesel,Automatic (Torque Convertor),1,1292000,1489000,9.8,9.8,9.3,9.3,8.8
Mg,Motors Hector Sharp 2.0 Diesel*,6,57000,Diesel,Manual (Regular),1,1233000,1728000,9.8,9.4,9.2,9,8.5
Honda,Wr-V Vx,4,21000,Petrol,Manual (Regular),1,782000,1037000,9.9,9.8,9,9,8.8
Nissan,Magnite Xv Dual Tone,3,70000,Petrol,Manual (Regular),1,640000,875000,9.7,9.3,8.2,8.5,7.9
Maruti,Suzuki S-Cross 1.6,10,100000,Diesel,Manual (Regular),2,579000,1203000,9.5,9.1,7.7,7.8,8.4
Mahindra,Xuv500 W11,8,102000,Diesel,Automatic (Torque Convertor),1,1145000,1898000,9.3,9.2,8.1,7.6,7.6
Skoda,Kushaq Ambition 1.0L Tsi,3,25000,Petrol,Manual (Regular),2,1010000,1199000,9.9,9.8,9.4,9.4,9
Hyundai,Creta 1.6,9,123000,Petrol,Manual (Regular),1,665000,1208000,9.5,9.1,7.6,7.7,8.8
Renault,Kiger Dual Tone*,4,23000,Petrol,Automatic (Cvt),1,755000,1062000,9.3,9.6,9.2,9.5,8
Maruti,Suzuki Brezza Dual Tone,3,41000,Petrol,Automatic (Torque Convertor),1,1133000,1414000,9.8,9.6,9.2,9.1,8.3
Hyundai,Creta Ex 1.5,3,15000,Petrol,Manual (Regular),1,1108000,1087000,9.9,9.9,9.5,9.4,9.3
