Name,Make_Year,Kilometers_Driven,Fuel_Type,Transmission,Owner_Count,Insurance_Validity,Price,Core_Systems_Score,Supporting_Systems_Score,Interiors_AC_Score,Exteriors_Lights_Score,Wear_Tear_Parts_Score
2023 Volkswagen Taigun Topline 1.0 TSI MT*,Dec-22,74K km,Petrol (BSVI),Manual (Regular),1st Owner,Apr-27,10.19 Lakh,9.7,9.4,9.1,8.1,8.2
2022 Hyundai Creta SX 1.5 Petrol IVT,Feb-22,102K km,Petrol (BSVI),Automatic (CVT),1st Owner,Apr-27,11.91 Lakh,9.6,9.3,8.6,8.4,8
2023 Volkswagen Taigun Topline 1.0 TSI MT*,Nov-22,50K km,Petrol (BSVI),Manual (Regular),1st Owner,Aug-26,10.65 Lakh,9.6,9.7,8.7,9.1,8.5
2020 Kia Seltos GTX Plus AT 1.5 Diesel,Jan-20,120K km,Diesel (BSVI),Automatic (Torque Convertor),2nd Owner,Apr-27,10.80 Lakh,9.6,9.1,7.6,8.1,8.5
2020 Kia Seltos HTX 1.5,Jul-20,66K km,Petrol (BSVI),Manual (Regular),1st Owner,Aug-26,10.06 Lakh,9.8,9.6,8.9,8.9,8.3
2019 Kia Seltos GTX Plus DCT 1.4,Sep-19,106K km,Petrol (BSVI),Automatic (DCT),1st Owner,Apr-27,10.05 Lakh,9.6,9.2,8.2,8,7.4
2022 MG Motors Hector Sharp 1.5 Petrol CVT,Feb-22,64K km,Petrol (BSVI),Automatic (CVT),1st Owner,Apr-27,13.74 Lakh,9.8,9.6,9.3,9.3,8.3
2023 Maruti Suzuki Fronx Alpha 1.0L Turbo 6 AT,Apr-23,88K km,Petrol (BSVI),Automatic (Torque Convertor),1st Owner,Apr-27,9.47 Lakh,9.7,9.4,8.5,7.9,7.3
2021 Kia Seltos GTX Plus 1.5 Diesel AT,Oct-21,120K km,Diesel (BSIV),Automatic (Torque Convertor),1st Owner,Nov-26,12.43 Lakh,9.5,8.5,8.2,8.7,8.6
2022 Volkswagen Taigun Highline 1.0 TSI MT,Mar-22,62K km,Petrol (BSVI),Manual (Regular),1st Owner,Apr-27,9.49 Lakh,9.8,9.6,9.1,8.8,8.3
2022 Volkswagen Taigun Topline 1.0 TSI MT*,Nov-21,120K km,Petrol (BSVI),Manual (Regular),1st Owner,Apr-27,9.47 Lakh,9.3,9.2,7.6,8.1,7.4
2020 Hyundai Creta SX (O) 1.5 Diesel,Aug-20,52K km,Diesel (BSVI),Manual (Regular),2nd Owner,Apr-27,12.46 Lakh,9.7,9.5,9.3,8.9,8.5
2016 Ford EcoSport Titanium 1.5L Ti-VCT,Nov-16,111K km,Petrol (BSIV),Manual (Regular),1st Owner,Nov-26,5.09 Lakh,9.6,9.2,8.3,8.1,8.6
2023 Kia Seltos HTX 1.5*,Nov-22,47K km,Petrol (BSVI),Manual (Regular),1st Owner,Jan-27,11.92 Lakh,9.8,9.6,8.9,8.6,8.4
2022 Kia Seltos GTX Plus 1.5 Diesel AT,Mar-22,49K km,Diesel (BSVI),Automatic (Torque Convertor),2nd Owner,Sep-26,14.44 Lakh,9.8,9.6,9.4,9.1,8.2
2025 Hyundai Venue SX 1.2 Petrol,Mar-25,6K km,Petrol (BSVI),Manual (Regular),1st Owner,Apr-27,11.24 Lakh,10,10,9.9,9.7,9.6
2017 Maruti Suzuki S-Cross Zeta 1.3,May-17,95K km,Diesel (BSIV),Manual (Regular),1st Owner,Apr-27,5.81 Lakh,9.3,9.4,8.2,8.1,8
2022 Nissan Magnite XV Premium Turbo CVT,Feb-22,32K km,Petrol (BSVI),Automatic (CVT),1st Owner,Mar-27,8.07 Lakh,9.9,9.7,9.5,8.7,8.7
2023 Kia Sonet HTK Plus 1.2 Petrol MT,May-23,11K km,Petrol (BSVI),Manual (Regular),1st Owner,Apr-27,8.46 Lakh,9.9,9.9,9.8,9.6,9.4
2017 Maruti Suzuki Vitara Brezza ZDi+ Dual Tone,Feb-17,105K km,Diesel (BSIV),Manual (Regular),1st Owner,Apr-27,6.86 Lakh,9.6,9.3,8.3,7.7,8.1
2021 Kia Sonet HTX 1.5,Feb-21,46K km,Diesel (BSIV),Manual (Regular),1st Owner,Apr-27,9.17 Lakh,9.7,9.5,8.8,9,8.2
2023 Hyundai Alcazar Signature 6 STR 1.5 Diesel*,Nov-22,70K km,Diesel (BSVI),Manual (Regular),1st Owner,Apr-27,14.51 Lakh,9.7,9.1,9,9,8.5
2021 Kia Seltos HTX 1.5 IVT,Aug-21,84K km,Petrol (BSVI),Automatic (CVT),2nd Owner,Apr-27,9.80 Lakh,9.7,9.4,8.7,8.4,7.4
2022 Kia Seltos GTX Plus 1.4 DCT,Jul-22,41K km,Petrol (BSVI),Automatic (DCT),1st Owner,Apr-27,14.20 Lakh,9.6,9.6,9.4,8.8,8
2018 Mahindra XUV500 W11 AT,May-18,76K km,Diesel (BSIV),Automatic (Torque Convertor),1st Owner,Apr-27,11.91 Lakh,9.3,9.5,8.3,8.6,8.3
2015 Ford EcoSport Titanium 1.5 TDCi,Mar-15,146K km,Diesel (BSIV),Manual (Regular),1st Owner,Mar-27,4.74 Lakh,9.4,9,8,7.7,8.4
2024 Maruti Suzuki Brezza ZXi Plus*,Sep-23,20K km,Petrol (BSVI),Manual (Regular),2nd Owner,Jan-27,10.40 Lakh,9.9,9.9,9.7,9.5,9.3
2020 Kia Sonet GTX Plus 1.0 DCT,Nov-20,43K km,Petrol (BSVI),Automatic (DCT),1st Owner,Nov-26,9.35 Lakh,9.7,9.7,9,8.8,8.5
2022 Kia Sonet Anniversary Edition 1.5,Apr-22,69K km,Diesel (BSVI),Manual (Regular),1st Owner,Apr-27,9 Lakh,9.6,9.4,8.7,8.4,8
2020 Kia Seltos GTX Plus DCT 1.4*,Nov-19,109K km,Petrol (BSVI),Automatic (DCT),2nd Owner,Apr-27,9.51 Lakh,9.6,8.8,7.8,8.1,8
2020 Kia Seltos GTX Plus DCT 1.4*,Nov-19,90K km,Petrol (BSIV),Automatic (DCT),1st Owner,Apr-27,10.49 Lakh,9.7,9.3,7.7,8,8.1
