Brand,Model,Car_Age,Kilometers_Driven,Fuel_Type,Transmission,Owner_Count,Price,Estimated_Original_Price,Core_Systems_Score,Supporting_Systems_Score,Interiors_AC_Score,Exteriors_Lights_Score,Wear_Tear_Parts_Score,Depreciation_Percent,Price_Lost_Per_Year,Km_Per_Year,Ownership_Impact,Luxury_Score,Wear_Price_Ratio,Total_Feature_Score
Mg,Motors Hector Sharp 1.5 6-Str,4,39000,Petrol,Automatic (Dct),1,1533000,2114800,9.8,9.7,9.2,9.1,8.5,27.51087573292983,145450.0,9750.0,4,9.45,5.544683626875408e-06,46.3
Tata,Nexon (S),5,63000,Petrol,Automatic (Amt),1,834000,1145900,9.5,9.0,8.6,8.7,8.1,27.21877999825465,62380.0,12600.0,5,8.95,9.712230215827338e-06,43.9
Maruti,Suzuki Vitara Brezza,6,67000,Petrol,Manual (Regular),2,681000,975000,9.8,9.6,9.0,8.3,8.2,30.153846153846153,49000.0,11166.666666666666,12,9.175,1.2041116005873714e-05,44.900000000000006
Mahindra,Thar Roxx Ax7 L 2Wd,1,5000,Petrol,Automatic (Torque Convertor),1,2102000,1899000,10.0,9.9,9.9,9.8,9.5,-10.689836756187466,-203000.0,5000.0,1,9.899999999999999,4.5195052331113225e-06,49.099999999999994
Mahindra,Xuv700 Ax 7 Luxury Pack 7 Str,4,44000,Diesel,Automatic (Torque Convertor),1,2024000,2289000,9.8,9.7,9.2,8.8,8.8,11.577107907383137,66250.0,11000.0,4,9.375,4.347826086956522e-06,46.3
Tata,Nexon,4,105000,Diesel,Manual (Regular),1,833000,1139900,9.3,8.4,8.5,7.8,8.6,26.923414334590756,76725.0,26250.0,4,8.5,1.0324129651860743e-05,42.6
Kia,Seltos 1.4,6,97000,Petrol,Manual (Regular),2,970000,1729000,9.6,9.1,8.5,7.9,8.4,43.898207056101796,126500.0,16166.666666666666,12,8.775,8.65979381443299e-06,43.5
Mg,Motors Hector Sharp 2.0 6-Str,5,51000,Diesel,Manual (Regular),1,1400000,2008800,9.8,8.9,8.9,8.9,8.4,30.30665073675826,121760.0,10200.0,5,9.125,6e-06,44.9
Maruti,Suzuki Fronx 1.0L 6 At*,2,22000,Petrol,Automatic (Torque Convertor),1,1109000,1304000,9.9,9.7,9.8,9.6,8.9,14.95398773006135,97500.0,11000.0,2,9.75,8.025247971145176e-06,47.9
Renault,Captur Rxl Diesel*,9,95000,Diesel,Manual (Regular),1,598000,1167000,9.3,9.3,7.5,8.1,8.4,48.75749785775493,63222.22222222222,10555.555555555555,9,8.55,1.4046822742474917e-05,42.6
