Brand,Model,Car_Age,Kilometers_Driven,Fuel_Type,Transmission,Owner_Count,Price,Estimated_Original_Price,Core_Systems_Score,Supporting_Systems_Score,Interiors_AC_Score,Exteriors_Lights_Score,Wear_Tear_Parts_Score
Nissan,Magnite Xv,4,54000.0,Petrol,Automatic (Cvt),1.0,757000.0,1030000,9.8,9.5,8.8,8.8,8.0
Hyundai,Venue 1.0,3,20000.0,Petrol,Automatic (Dct),1.0,1131000.0,1272000,9.9,9.9,9.7,9.5,8.7
Tata,Punch Creative Dual Tone,4,27000.0,Petrol,Automatic (Amt),1.0,759000.0,954900,9.8,9.7,9.6,9.3,8.3
Mahindra,Xuv700 Ax 7 Luxury Pack 7 Str,3,98000.0,Diesel,Automatic (Torque Convertor),1.0,1971000.0,2495000,9.5,9.4,8.3,8.4,8.0
Nissan,Magnite Xv,3,37000.0,Petrol,Automatic (Cvt),1.0,858000.0,1086000,9.9,9.7,9.6,9.6,8.5
Hyundai,Creta 1.4 7,6,107000.0,Petrol,Automatic (Dct),1.0,1078000.0,1720000,9.6,9.2,8.0,8.3,7.5
Mahindra,Xuv700 Ax 5 5 Str,4,113000.0,Petrol,Automatic (Torque Convertor),1.0,1436000.0,1839000,9.6,9.1,8.5,8.5,8.2
Hyundai,Creta 1.4 7 Dct*,4,43000.0,Petrol,Automatic (Dct),1.0,1449000.0,1787000,9.8,9.6,8.8,8.9,8.3
Mahindra,Kuv100 Nxt K2 6 Str,8,36000.0,Petrol,Manual (Regular),1.0,351000.0,439000,9.7,9.3,7.8,8.6,8.2
Maruti,Suzuki S-Cross 1.3,8,66000.0,Diesel,Manual (Regular),1.0,735000.0,998000,9.7,9.6,8.9,8.2,8.0
Kia,Seltos 1.5,6,101000.0,Petrol,Manual (Regular),1.0,821000.0000000001,1334000,9.4,9.3,8.0,7.6,8.2
Mahindra,Xuv 300 1.2 Petrol*,4,37000.0,Petrol,Manual (Regular),1.0,897000.0000000001,1221000,9.9,9.8,9.2,8.4,8.9
Hyundai,Alcazar Signature 7 Seater 1.5,4,64000.0,Diesel,Automatic (Torque Convertor),1.0,1537000.0,2110000,9.2,8.7,8.7,8.5,8.2
Maruti,Suzuki Grand Vitara Smart Hybrid Allgrip*,4,59000.0,Petrol,Manual (Regular),2.0,1214000.0,1689000,9.8,9.6,9.0,9.2,8.5
Hyundai,Alcazar Platinum 7 Str 1.5,3,25000.0,Diesel,Manual (Regular),1.0,1673000.0,2113000,9.9,9.7,9.6,9.5,9.0
Mg,Motors Hector Sharp 2.0,6,93000.0,Diesel,Manual (Regular),1.0,1074000.0,1728000,9.5,9.1,8.7,8.5,7.3
Hyundai,Creta 1.4 7,5,54000.0,Petrol,Automatic (Dct),1.0,1341000.0,1782000,9.8,9.5,8.0,8.1,8.1
Hyundai,Creta 1.6,10,112000.0,Petrol,Manual (Regular),1.0,654000.0,1119000,9.6,9.1,7.9,7.7,8.9
Hyundai,Creta 1.5 Ivt,4,93000.0,Petrol,Automatic (Cvt),1.0,1184000.0,1558000,9.7,9.4,8.9,8.7,8.2
